Skill Name,Salary Premium,Skill Frequency,Averege job postings duration (days),Difficulty to fill in the market,Difficulty,GROWTH PROJECTION 
Social Media Outreach,0,0.01%,31.648624,0.00%,Low difficulty to fill,-8.08%
Post-Production,19425.514644,0.09%,30.033603,2.31%,Low difficulty to fill,-0.67%
Target Accounts,40361.981997,0.05%,30.514047,4.88%,Medium difficulty to fill,-4.10%
Cloud Computing Architecture,75971.582814,0.09%,27.92517,8.36%,High difficulty to fill,6.07%
Enterprise Sales,75327.236649,0.05%,29.839929,8.90%,High difficulty to fill,-4.49%
Tissue Preparation,0,0.01%,30.252286,0.00%,Low difficulty to fill,-3.39%
Operations Security,36019.824865,0.05%,29.089188,4.14%,Medium difficulty to fill,1.04%
Battle Management Technology,58685.41732,0.01%,28.721868,6.65%,High difficulty to fill,1.63%
Visual Simulations,39915.654125,0.00%,30.651765,4.85%,Medium difficulty to fill,9.09%
Welding Equipment,0,0.08%,30.004777,0.00%,Low difficulty to fill,-5.29%
Banking Services,12940.009319,0.05%,29.86289,1.53%,Low difficulty to fill,-1.32%
IBM Rational ClearCase,56681.112488,0.01%,27.56633,6.15%,High difficulty to fill,2.33%
Sample Preparation,0,0.04%,29.937735,0.00%,Low difficulty to fill,4.42%
Elixir (Programming Language),77377.921355,0.01%,29.383277,8.99%,High difficulty to fill,-2.83%
Okta,59905.090005,0.04%,27.976009,6.60%,High difficulty to fill,-7.83%
Border Gateway Protocol,54538.985889,0.07%,27.462924,5.89%,High difficulty to fill,-4.89%
Indirect Costs,30933.445682,0.02%,30.393179,3.73%,Medium difficulty to fill,4.14%
Express Checkout,0,0.00%,31.917599,0.00%,Low difficulty to fill,4.59%
Community Mental Health,8602.788685,0.03%,31.131474,1.06%,Low difficulty to fill,1.58%
Farming,0,0.03%,30.860149,0.00%,Low difficulty to fill,-4.61%
Multithreading,72007.307095,0.02%,24.679457,6.93%,High difficulty to fill,9.62%
Interface Control Document,68732.208257,0.00%,26.388696,7.11%,High difficulty to fill,1.24%
Drug Education,6137.624649,0.00%,32.431263,0.79%,Low difficulty to fill,3.23%
Library Research,0,0.00%,31.809714,0.00%,Low difficulty to fill,-4.52%
Computerized Accounting,564.829442,0.02%,31.173229,0.07%,Low difficulty to fill,-2.94%
Data Engineering,72304.087053,0.28%,26.971546,7.66%,High difficulty to fill,2.09%
Cross-Selling,912.200276,0.42%,30.776203,0.11%,Low difficulty to fill,-2.34%
Transmission,1297.216077,0.16%,29.580494,0.15%,Low difficulty to fill,-30.96%
Instructional Design,20861.844264,0.13%,29.957694,2.47%,Low difficulty to fill,1.64%
Biomedical Waste,0,0.03%,30.336051,0.00%,Low difficulty to fill,3.66%
Payroll Reporting,0,0.09%,31.272566,0.00%,Low difficulty to fill,-7.13%
Aftercare,21424.671873,0.03%,31.511607,2.68%,Low difficulty to fill,-4.54%
Unit Testing,61123.30309,0.40%,26.969889,6.48%,High difficulty to fill,0.43%
Meal Service,0,0.05%,31.54679,0.00%,Low difficulty to fill,-4.61%
Occupational Medicine,56663.311058,0.03%,30.382925,6.82%,High difficulty to fill,2.83%
Continuous Integration,65659.811403,0.32%,27.015143,6.97%,High difficulty to fill,1.61%
Rheumatology,56216.754675,0.03%,29.59483,6.58%,High difficulty to fill,0.39%
Version Control,56383.444461,0.39%,27.333661,6.06%,High difficulty to fill,-3.68%
Screwdrivers,0,0.10%,29.343284,0.00%,Low difficulty to fill,0.87%
Wildlife Biology,0,0.01%,29.591837,0.00%,Low difficulty to fill,-3.73%
Advertising Design,9617.692799,0.01%,26.351017,0.99%,Low difficulty to fill,5.03%
Environmental Compliance,20352.481145,0.09%,30.2877,2.44%,Low difficulty to fill,9.74%
Cabinetry,0,0.07%,32.474383,0.00%,Low difficulty to fill,-4.20%
Qualification Protocols (IQ/OQ/PQ),32829.422234,0.03%,28.95637,3.76%,Medium difficulty to fill,6.92%
Disaster Planning,0,0.04%,30.846519,0.00%,Low difficulty to fill,3.47%
Water Metering,0,0.01%,31.635903,0.00%,Low difficulty to fill,2.99%
Community Health,16821.836876,0.21%,30.565622,2.04%,Low difficulty to fill,2.70%
Red Hat Enterprise Linux,55066.723822,0.05%,27.038944,5.85%,High difficulty to fill,6.71%
Cardiac Arrest,18128.380226,0.02%,29.97544,2.15%,Low difficulty to fill,-0.11%
Payroll Practices,0,0.01%,30.987222,0.00%,Low difficulty to fill,-1.55%
Perinatal Care,36676.78558,0.03%,29.403992,4.26%,Medium difficulty to fill,-11.18%
Stock Control,0,0.06%,31.855491,0.00%,Low difficulty to fill,5.66%
Services Marketing,42555.155244,0.02%,30.274437,5.11%,Medium difficulty to fill,-5.11%
Sleep Apnea,28309.841994,0.02%,30.61015,3.44%,Medium difficulty to fill,-0.39%
Language Experience Approach,56893.130993,0.03%,27.743037,6.21%,High difficulty to fill,2.71%
Patient Coordination,0,0.05%,30.463535,0.00%,Low difficulty to fill,-2.44%
SketchUp (3D Modeling Software),11368.805038,0.06%,32.00593,1.45%,Low difficulty to fill,-4.44%
Electronic Discovery,28519.936539,0.04%,29.747427,3.36%,Medium difficulty to fill,5.86%
Cyber Security Policies,55598.607182,0.02%,29.00878,6.37%,High difficulty to fill,11.40%
Project Closure,36956.805284,0.10%,29.281018,4.28%,Medium difficulty to fill,5.12%
Account Strategy,59878.952247,0.07%,30.417712,7.22%,High difficulty to fill,-1.26%
Test Management,49736.871134,0.03%,26.901711,5.26%,Medium difficulty to fill,-0.52%
Mechanical Drafting,0,0.01%,29.259782,0.00%,Low difficulty to fill,0.00%
Energy Demand Management,60202.063582,0.00%,31.185593,7.46%,High difficulty to fill,-1.00%
Web Application Security,58866.954582,0.02%,28.134555,6.53%,High difficulty to fill,2.18%
Blog Posts,23683.174586,0.06%,30.002532,2.81%,Medium difficulty to fill,9.58%
Chronic Care,30096.821182,0.04%,30.447631,3.63%,Medium difficulty to fill,2.15%
Barcoding,0,0.11%,30.504747,0.00%,Low difficulty to fill,-0.70%
Shift Scheduling,0,0.02%,32.21983,0.00%,Low difficulty to fill,-14.01%
Soil Sampling,0,0.01%,31.229899,0.00%,Low difficulty to fill,-0.17%
Electronic Engineering,37555.877403,0.08%,28.977409,4.30%,Medium difficulty to fill,0.30%
Distribution Center Operations,3531.498734,0.01%,29.227615,0.41%,Low difficulty to fill,2.30%
Communication Platforms,4412.968591,0.02%,30.142511,0.53%,Low difficulty to fill,0.00%
Capability Maturity Model Integration,55526.350401,0.03%,27.830919,6.09%,High difficulty to fill,4.01%
Governance and Compliance Strategy,61598.586629,0.02%,29.354428,7.15%,High difficulty to fill,0.00%
Extensible HyperText Markup Language (XHTML),46445.041886,0.01%,27.338759,4.99%,Medium difficulty to fill,-4.66%
Mechanical Drawings,0,0.06%,29.856315,0.00%,Low difficulty to fill,3.74%
Google Play,16414.912014,0.02%,24.377835,1.56%,Low difficulty to fill,7.58%
Rectifier,7808.365258,0.01%,29.672227,0.92%,Low difficulty to fill,-1.25%
Mental Health First Aid,0,0.00%,33.072748,0.00%,Low difficulty to fill,21.05%
Transgenic Mice,0,0.00%,31.298157,0.00%,Low difficulty to fill,-1.20%
SAP APO,47422.575124,0.01%,27.634483,5.16%,Medium difficulty to fill,3.80%
Health Care Finance Administration (HCFA) Regulations,0,0.02%,29.635938,0.00%,Low difficulty to fill,-5.15%
Batch Sheets,0,0.01%,30.644797,0.00%,Low difficulty to fill,5.99%
Digital Banking,27284.346792,0.04%,29.741804,3.21%,Medium difficulty to fill,-3.31%
Test Harness,52217.211282,0.00%,25.628676,5.24%,Medium difficulty to fill,-8.77%
Matplotlib (Python Package),61313.607379,0.01%,27.406211,6.61%,High difficulty to fill,-4.70%
Web Development Tools,33014.691908,0.01%,31.82427,4.18%,Medium difficulty to fill,6.06%
Sustainability Standards,0,0.02%,32.066046,0.00%,Low difficulty to fill,-6.17%
Engineering Research,40795.29671,0.01%,29.244595,4.72%,Medium difficulty to fill,-0.77%
Type Approval,34339.476228,0.00%,29.28125,3.98%,Medium difficulty to fill,0.00%
Glucose Testing,0,0.01%,29.662215,0.00%,Low difficulty to fill,4.88%
Contractor Management,35142.999833,0.02%,29.668227,4.13%,Medium difficulty to fill,6.43%
Methadone,16889.06089,0.01%,31.285714,2.10%,Low difficulty to fill,8.18%
CNC Programming,0,0.02%,29.747335,0.00%,Low difficulty to fill,0.00%
Ammonia,2604.893721,0.03%,30.936558,0.32%,Low difficulty to fill,4.38%
Flight Nursing,35639.982803,0.01%,28.913314,4.07%,Medium difficulty to fill,-5.18%
TeleCommunications Device For The Deaf,0,0.02%,33.66874,0.00%,Low difficulty to fill,-43.16%
Mathematical Optimization,73365.01416,0.01%,29.032926,8.42%,High difficulty to fill,-6.56%
Substance Abuse Prevention,0,0.00%,31.396668,0.00%,Low difficulty to fill,5.50%
Korn Shell,44770.020389,0.00%,25.990748,4.56%,Medium difficulty to fill,-11.36%
Business Lending,34769.404232,0.03%,30.661768,4.23%,Medium difficulty to fill,-0.57%
Compaction Rollers,0,0.00%,30.779661,0.00%,Low difficulty to fill,-4.76%
Real-Time Operating Systems,67647.625021,0.04%,27.801116,7.41%,High difficulty to fill,5.07%
Confluent,69194.118259,0.01%,28.101921,7.66%,High difficulty to fill,12.43%
Verisign,61155.880569,0.00%,33.251462,8.11%,High difficulty to fill,-33.33%
Performance Systems Analysis,44063.421846,0.02%,28.798243,5.01%,Medium difficulty to fill,2.71%
Electricity Generation,14290.55424,0.01%,30.526685,1.73%,Low difficulty to fill,-14.85%
Web Publishing,8697.599343,0.01%,29.647959,1.02%,Low difficulty to fill,-8.13%
Corporate Reporting,24755.168992,0.01%,30.692322,3.01%,Medium difficulty to fill,9.46%
Colocation,40282.231946,0.02%,30.621637,4.89%,Medium difficulty to fill,10.03%
Credit Analysis,65143.772346,0.04%,30.644124,7.92%,High difficulty to fill,-2.07%
XML Schema,56804.139426,0.02%,25.846428,5.75%,High difficulty to fill,-2.22%
Notetaking,10493.892615,0.03%,30.487478,1.27%,Low difficulty to fill,2.97%
Security Context,94607.658064,0.00%,26.733138,9.93%,High difficulty to fill,-15.38%
Government Marketing,117916.238778,0.00%,26.402778,12.21%,High difficulty to fill,-20.41%
Rust (Programming Language),93334.894239,0.02%,27.866354,10.24%,High difficulty to fill,5.85%
RAID,45286.831022,0.02%,27.69805,4.94%,Medium difficulty to fill,-2.17%
Trial Master File,63040.699079,0.01%,29.765141,7.43%,High difficulty to fill,3.57%
Deterministic Methods,60014.622516,0.00%,29.270595,6.94%,High difficulty to fill,-0.81%
Email Software,0,0.02%,31.03897,0.00%,Low difficulty to fill,3.44%
Poultry Science,2364.6598,0.00%,30.820088,0.29%,Low difficulty to fill,1.06%
Premises Liability,44776.551128,0.00%,30.74538,5.46%,Medium difficulty to fill,-11.33%
Terminal Emulators,19375.503029,0.00%,28.557319,2.18%,Low difficulty to fill,-7.14%
Kendo UI (User Interface Framework),55671.753069,0.01%,26.836044,5.87%,High difficulty to fill,-1.30%
Reflective Practice,0,0.01%,31.432013,0.00%,Low difficulty to fill,-5.49%
Diagnostic Analysis,18317.93761,0.01%,29.22085,2.12%,Low difficulty to fill,-1.33%
Syslog,53263.894257,0.01%,27.917222,5.86%,High difficulty to fill,-0.86%
Alternative Energy,58201.982694,0.01%,30.421655,7.02%,High difficulty to fill,-4.65%
Product Literature,5226.590421,0.01%,30.95,0.64%,Low difficulty to fill,-0.81%
Pega PRPC,68795.978204,0.00%,25.812251,6.95%,High difficulty to fill,-4.60%
Folklore,2652.526661,0.00%,30.738693,0.32%,Low difficulty to fill,-5.00%
Load Flow Analysis,51051.742962,0.01%,30.081178,6.08%,High difficulty to fill,-7.41%
Embedded C,57999.851906,0.01%,27.161993,6.19%,High difficulty to fill,2.33%
Scouting,0,0.00%,31.553743,0.00%,Low difficulty to fill,-11.43%
Data-Structured Language,16745.484026,0.00%,34.85119,2.33%,Low difficulty to fill,-5.26%
Computer Forensics,36318.246134,0.02%,24.309632,3.44%,Medium difficulty to fill,2.39%
Collaborative Planning Forecasting And Replenishment (CPFR),31278.433665,0.00%,29.229384,3.61%,Medium difficulty to fill,1.14%
Operative Report,639.285397,0.00%,30.376068,0.08%,Low difficulty to fill,-4.00%
Wire Crimpers,0,0.00%,30.070836,0.00%,Low difficulty to fill,1.49%
Secure Remote Password Protocols,45703.485789,0.00%,29,5.24%,Medium difficulty to fill,0.00%
Deep Sequencing,6422.577872,0.00%,29.023438,0.74%,Low difficulty to fill,-10.53%
Clinical Data Review,75714.200982,0.00%,29.306375,8.77%,High difficulty to fill,-23.51%
Underwater Acoustics,35134.662229,0.00%,27.404526,3.79%,Medium difficulty to fill,-12.39%
IP Pbx,33224.215715,0.00%,28.311155,3.71%,Medium difficulty to fill,-30.95%
Medisoft,0,0.00%,32.693015,0.00%,Low difficulty to fill,-7.32%
Stepper,15902.91557,0.00%,29.125113,1.83%,Low difficulty to fill,1.47%
Engine Machining,12217.328195,0.00%,33.981481,1.66%,Low difficulty to fill,-100.00%
Nephritis,117964.098113,0.00%,34.253247,16.14%,High difficulty to fill,-20.00%
Technical Engineering,46775.588615,0.07%,29.058457,5.37%,Medium difficulty to fill,-3.89%
Changing Oil,0,0.21%,30.370942,0.00%,Low difficulty to fill,-5.72%
Nurse Education,30347.018937,0.17%,29.348965,3.52%,Medium difficulty to fill,0.39%
Tax Software,15352.937576,0.02%,29.297851,1.78%,Low difficulty to fill,4.36%
Blogs,21340.536934,0.11%,30.893263,2.62%,Low difficulty to fill,10.35%
Behavior Management,0,0.16%,31.024423,0.00%,Low difficulty to fill,-0.02%
Photo Editing,0,0.02%,31.114258,0.00%,Low difficulty to fill,5.33%
Marketing Planning,16541.016466,0.17%,31.602767,2.08%,Low difficulty to fill,-1.58%
Mental Diseases,4331.049672,0.19%,31.171896,0.54%,Low difficulty to fill,-2.65%
MicroStrategy,48616.256285,0.03%,28.065983,5.38%,Medium difficulty to fill,-25.00%
SEC Filing,59603.590191,0.05%,30.505769,7.21%,High difficulty to fill,-2.27%
Workmanship,0,0.02%,29.756651,0.00%,Low difficulty to fill,-3.34%
Debt Management Planning,22464.75222,0.01%,30.758264,2.74%,Medium difficulty to fill,-5.29%
Non-Invasive Procedures,19225.416085,0.01%,29.874309,2.27%,Low difficulty to fill,-0.64%
Machine Guarding,584.200363,0.01%,29.901636,0.07%,Low difficulty to fill,-15.06%
IEEE 802.3,46615.098382,0.00%,28.262206,5.19%,Medium difficulty to fill,4.65%
Merchandise Planning,25528.459737,0.01%,29.43165,2.97%,Medium difficulty to fill,-1.07%
Social-Emotional Learning (SEL),0,0.03%,31.816277,0.00%,Low difficulty to fill,-9.62%
Methods Of Production,6565.554816,0.07%,29.878547,0.78%,Low difficulty to fill,-7.04%
Client Education,0,0.04%,31.117268,0.00%,Low difficulty to fill,0.12%
Data Reduction,30352.899236,0.01%,30.693393,3.70%,Medium difficulty to fill,1.15%
Syntax,20848.602585,0.03%,28.75525,2.37%,Low difficulty to fill,-1.23%
Microsoft Frontpage,9393.823586,0.00%,28.583333,1.06%,Low difficulty to fill,-50.00%
Highway Design,25491.674003,0.01%,30.895484,3.13%,Medium difficulty to fill,-0.24%
Exploratory Testing,40666.060667,0.01%,27.689353,4.43%,Medium difficulty to fill,0.51%
Lighting Systems,0,0.05%,31.049393,0.00%,Low difficulty to fill,-7.19%
Sprint Retrospectives,57773.399554,0.09%,28.018062,6.38%,High difficulty to fill,6.77%
Data Mapping,47964.100195,0.06%,27.053147,5.10%,Medium difficulty to fill,0.40%
Dosage Calculation,16612.880669,0.01%,31.07666,2.05%,Low difficulty to fill,-0.65%
Entity Framework,51482.792947,0.04%,26.624983,5.38%,Medium difficulty to fill,-3.15%
Code Reuse,68536.633717,0.00%,26.548656,7.14%,High difficulty to fill,5.31%
Reinsurance,58312.89397,0.03%,30.40021,7.03%,High difficulty to fill,-5.14%
Appliance Cleaning,0,0.00%,31.792208,0.00%,Low difficulty to fill,-4.44%
Primary Market,50670.668001,0.01%,31.027466,6.24%,High difficulty to fill,5.68%
Chemical Safety,0,0.02%,30.925921,0.00%,Low difficulty to fill,10.04%
Service Component Architecture,62995.293773,0.00%,29.086073,7.24%,High difficulty to fill,-35.90%
Antenna Installation,0,0.00%,32.358641,0.00%,Low difficulty to fill,-10.28%
Weight Management,5294.666741,0.05%,30.701494,0.64%,Low difficulty to fill,-3.50%
Supplier Development,39030.34722,0.02%,28.535066,4.39%,Medium difficulty to fill,4.42%
ActionScript,48165.470607,0.00%,27.026132,5.11%,Medium difficulty to fill,-100.00%
Industrial Production,0,0.02%,30.182617,0.00%,Low difficulty to fill,-7.64%
Attentive Service,0,0.04%,32.013641,0.00%,Low difficulty to fill,6.59%
Greenhouse Gas,36617.583576,0.02%,29.236117,4.23%,Medium difficulty to fill,-20.94%
Rheometer,516.305349,0.00%,30.722353,0.06%,Low difficulty to fill,3.57%
Business Development Company (BDC),13895.766112,0.01%,30.002691,1.65%,Low difficulty to fill,-0.98%
Palliative Care Nursing,37594.58409,0.01%,30.265442,4.51%,Medium difficulty to fill,-4.35%
Nuclear Safety,49091.881844,0.01%,28.708648,5.56%,High difficulty to fill,-5.98%
Asset Liability Management,52756.007163,0.01%,30.681599,6.42%,High difficulty to fill,1.73%
Experimental Data,20848.463836,0.02%,30.016505,2.48%,Low difficulty to fill,-0.34%
Medicinal Chemistry,54701.582536,0.01%,30.585796,6.64%,High difficulty to fill,3.95%
Autonomous System,63441.625522,0.01%,28.763248,7.20%,High difficulty to fill,0.68%
Wire Harnesses,0,0.04%,28.364366,0.00%,Low difficulty to fill,4.74%
Natural Language Understanding,88954.27106,0.01%,27.22321,9.52%,High difficulty to fill,-12.09%
SAP Process Integration,69161.398652,0.00%,27.134734,7.38%,High difficulty to fill,12.82%
Technical Report,22308.765238,0.02%,29.94059,2.64%,Low difficulty to fill,5.14%
Assisting Teachers,0,0.01%,29.81698,0.00%,Low difficulty to fill,-5.63%
Strength Training And Conditioning,0,0.04%,31.924674,0.00%,Low difficulty to fill,-8.17%
Headline Writing,3749.03078,0.00%,32.354314,0.48%,Low difficulty to fill,-2.44%
IDA Pro,60436.164876,0.01%,29.150803,6.96%,High difficulty to fill,2.63%
Health Systems,42425.993106,0.05%,30.214132,5.08%,Medium difficulty to fill,1.22%
Cisco firePOWER,53647.041684,0.00%,27.815569,5.88%,High difficulty to fill,7.14%
Analytical Dashboard,55970.699704,0.01%,26.891936,5.91%,High difficulty to fill,-0.42%
Nginx,64854.092167,0.03%,28.042658,7.17%,High difficulty to fill,3.15%
Remote Technical Support,4877.994054,0.01%,28.911818,0.56%,Low difficulty to fill,-5.88%
Alternative Therapies,22793.773393,0.00%,28.835366,2.60%,Low difficulty to fill,-5.56%
Active Pharmaceutical Ingredients,27081.657768,0.01%,29.12916,3.12%,Medium difficulty to fill,0.76%
Computational Modeling,39240.004971,0.01%,29.644638,4.60%,Medium difficulty to fill,-6.52%
Gateway Load Balancing Protocols,53461.715366,0.00%,26.347759,5.52%,Medium difficulty to fill,-2.50%
Transplanting,0,0.01%,32.174144,0.00%,Low difficulty to fill,-13.33%
Structured Programming,26894.142848,0.00%,28.08058,2.98%,Medium difficulty to fill,-2.47%
MasterSpec,32122.365741,0.00%,34.125241,4.38%,Medium difficulty to fill,-9.38%
Math Functions,0,0.01%,30.144889,0.00%,Low difficulty to fill,-3.23%
Lung Transplantation,32250.978,0.01%,28.104426,3.57%,Medium difficulty to fill,-3.98%
Robot Operating Systems,65524.829699,0.01%,28.322039,7.32%,High difficulty to fill,5.48%
Pizza Baking,0,0.01%,33.837903,0.00%,Low difficulty to fill,-8.70%
Stability Testing,18287.181109,0.01%,30.340342,2.20%,Low difficulty to fill,2.60%
Hypotension,19591.898889,0.00%,29,2.24%,Low difficulty to fill,8.82%
Aquatic Biology,5697.850887,0.00%,28.937725,0.65%,Low difficulty to fill,1.30%
Alternative Lending,31141.482792,0.00%,30.856994,3.81%,Medium difficulty to fill,-6.50%
Concurrency Pattern,56808.999037,0.00%,26.056452,5.80%,High difficulty to fill,0.00%
Revenue Analysis,35231.051575,0.01%,30.577179,4.27%,Medium difficulty to fill,-2.26%
MeteorJS,55281.536637,0.00%,29.838323,6.53%,High difficulty to fill,22.73%
Health Databases,18524.19065,0.00%,32.137019,2.37%,Low difficulty to fill,-9.26%
Stress Analysis,49710.716216,0.01%,28.245505,5.54%,Medium difficulty to fill,-0.66%
Irrigation Design,0,0.00%,32.175879,0.00%,Low difficulty to fill,-9.88%
Stainless Steel Welding,0,0.00%,31.141136,0.00%,Low difficulty to fill,-7.69%
Housing Policy,15213.428534,0.00%,31.358543,1.90%,Low difficulty to fill,-0.83%
Social Media Sharing,16698.670952,0.00%,31.0059,2.06%,Low difficulty to fill,0.00%
Brand Positioning,41238.006775,0.02%,30.823999,5.04%,Medium difficulty to fill,-1.50%
Video Cards,3076.007878,0.00%,28.909662,0.35%,Low difficulty to fill,-0.96%
Testimony,11291.828413,0.01%,29.63672,1.32%,Low difficulty to fill,-0.59%
Humidistat,3884.855291,0.00%,24.847756,0.38%,Low difficulty to fill,-16.15%
Integrated Circuit Packaging,11533.236184,0.00%,29.495199,1.35%,Low difficulty to fill,-4.35%
Medical Device Reporting,41381.055243,0.01%,29.453098,4.82%,Medium difficulty to fill,1.27%
Customer Profitability,27989.274368,0.01%,31.365603,3.49%,Medium difficulty to fill,0.25%
Pressure Regulator,0,0.01%,30.50207,0.00%,Low difficulty to fill,0.00%
Genome Editing,34760.986336,0.01%,30.991339,4.28%,Medium difficulty to fill,-2.51%
Logic Synthesis,83879.255181,0.01%,27.957318,9.24%,High difficulty to fill,7.48%
Minimum Order Quantity,3459.769655,0.01%,30.008188,0.41%,Low difficulty to fill,-0.86%
Potentiometer,6074.772417,0.00%,29.084956,0.70%,Low difficulty to fill,4.29%
Wireless Engineering,52535.963412,0.00%,27.29402,5.64%,High difficulty to fill,-1.27%
Armed Forces Health Longitudinal Technology Application (AHLTA),0,0.00%,30.002326,0.00%,Low difficulty to fill,17.95%
Acute Care Coding,9836.665746,0.00%,30.428371,1.19%,Low difficulty to fill,-17.00%
Docker Container,66751.374416,0.01%,25.393865,6.63%,High difficulty to fill,-12.35%
Enscape (VR Rendering Software),19586.36318,0.01%,32.444282,2.53%,Low difficulty to fill,-1.65%
Dynamic Trunking Protocol,38883.497194,0.00%,28.415763,4.36%,Medium difficulty to fill,-14.63%
Route Management,0,0.01%,29.800207,0.00%,Low difficulty to fill,1.77%
Database Reporting Software,16596.623894,0.00%,29.467742,1.93%,Low difficulty to fill,6.25%
Integrated Architecture Framework,81221.314295,0.01%,32.661864,10.57%,High difficulty to fill,-2.53%
Organizational Analysis,33010.852687,0.00%,31.016158,4.06%,Medium difficulty to fill,3.75%
Schematic Capture,59428.098803,0.02%,28.462906,6.67%,High difficulty to fill,-2.61%
Obsolescence Management,48946.76363,0.00%,30.114307,5.84%,High difficulty to fill,3.33%
Workforce Optimization,50098.714769,0.01%,29.458686,5.84%,High difficulty to fill,2.94%
Centerless Grinding,0,0.00%,30.719814,0.00%,Low difficulty to fill,3.85%
Hospital Inventory Management,0,0.00%,32.448119,0.00%,Low difficulty to fill,0.00%
Hand Coding,25707.324448,0.00%,27.972903,2.83%,Medium difficulty to fill,-12.25%
Millimeter Waves,45736.456312,0.00%,29.425849,5.32%,Medium difficulty to fill,-100.00%
Sales Terminology,0,0.00%,29.533582,0.00%,Low difficulty to fill,-18.52%
Sequoia Ultrasound System,19855.082985,0.00%,31.337662,2.47%,Low difficulty to fill,-11.77%
Control Cabinet,3226.398095,0.00%,29.919932,0.38%,Low difficulty to fill,-8.12%
ADT Security Services,74165.098539,0.00%,36.492578,10.85%,High difficulty to fill,-45.16%
Rich Site Summary (RSS),25012.116155,0.00%,27.715596,2.73%,Low difficulty to fill,-9.68%
News Writing,2446.04703,0.00%,31.732923,0.31%,Low difficulty to fill,-6.48%
Expressive Therapy,5271.721084,0.00%,29.628312,0.62%,Low difficulty to fill,-0.55%
Apache Wicket,45797.825218,0.00%,24.998447,4.47%,Medium difficulty to fill,-12.50%
spatialNET,15242.959531,0.00%,30.284387,1.83%,Low difficulty to fill,-42.86%
Document Type Definition,31618.278675,0.00%,27.081159,3.37%,Medium difficulty to fill,2.13%
Temporomandibular Joint (TMJ) Disorders,40613.174236,0.00%,27.347305,4.37%,Medium difficulty to fill,-14.29%
Piezometer,3251.874473,0.00%,31.186186,0.40%,Low difficulty to fill,-5.88%
Loan Application Analysis,1086.53079,0.00%,28.740129,0.12%,Low difficulty to fill,-17.91%
Sliding Window Protocol,0,0.00%,28.771429,0.00%,Low difficulty to fill,-100.00%
Open Plan,52575.546476,0.00%,29.054455,6.04%,High difficulty to fill,5.13%
Vector Calculus,44862.522247,0.00%,26.902527,4.74%,Medium difficulty to fill,-10.81%
Mac/Apple Support,0,0.01%,27.953242,0.00%,Low difficulty to fill,-0.46%
Central Auditory Processing Disorder,39771.674236,0.00%,32.105364,5.08%,Medium difficulty to fill,0.00%
Domainkeys Identified Mail,43610.871748,0.00%,28.503788,4.90%,Medium difficulty to fill,12.50%
Mule (Software),61076.18709,0.00%,26.65281,6.39%,High difficulty to fill,-21.65%
DNA Profiling,9347.64132,0.00%,29.588983,1.09%,Low difficulty to fill,5.88%
Decision Theories,47657.468565,0.00%,31.022293,5.87%,High difficulty to fill,-50.00%
Programmatic Media Buying,31469.686521,0.00%,30.05,3.75%,Medium difficulty to fill,7.27%
Oracle Procurement,35219.949567,0.00%,27.285484,3.78%,Medium difficulty to fill,-14.29%
Employee Engagement Strategy,42705.007628,0.00%,30.875,5.23%,Medium difficulty to fill,0.00%
Risk Management Information Systems,32011.314394,0.01%,28.263448,3.57%,Medium difficulty to fill,-4.41%
Signal Transduction,26431.877346,0.00%,30.959821,3.25%,Medium difficulty to fill,-11.03%
Transmission Repair,0,0.00%,30.404404,0.00%,Low difficulty to fill,-30.96%
Massively Multiplayer Online Game,19146.395015,0.00%,28.129032,2.12%,Low difficulty to fill,7.69%
Architectural History,9149.276896,0.00%,31.357587,1.14%,Low difficulty to fill,-1.44%
Qt Modeling Language (QML),58510.422872,0.00%,28.921888,6.68%,High difficulty to fill,-4.65%
Booting (BIOS),38591.280826,0.01%,28.602816,4.36%,Medium difficulty to fill,2.80%
fastText,96721.237872,0.00%,26.66,10.12%,High difficulty to fill,-16.67%
Roadworks,0,0.00%,30.451087,0.00%,Low difficulty to fill,-3.65%
Azure Command-Line Interface (Azure CLI),66775.259139,0.00%,26.375906,6.91%,High difficulty to fill,-5.44%
Oracle Receivables,44074.025214,0.00%,25.751825,4.44%,Medium difficulty to fill,7.14%
Color Printing,0,0.00%,31.700549,0.00%,Low difficulty to fill,0.00%
Database Upgrades,50521.693513,0.01%,26.743363,5.30%,Medium difficulty to fill,2.86%
Hydraulic Benders,208.767039,0.00%,30.372228,0.03%,Low difficulty to fill,-14.41%
Dynamic Positioning,62304.581082,0.00%,29.623529,7.30%,High difficulty to fill,0.00%
Animal Resources,0,0.00%,30.604263,0.00%,Low difficulty to fill,-5.44%
Chemical Reactors,4068.448295,0.00%,30.455939,0.49%,Low difficulty to fill,-14.71%
Crocheting,0,0.00%,32.278351,0.00%,Low difficulty to fill,-8.11%
Lockbox Processing,0,0.00%,31.66055,0.00%,Low difficulty to fill,-13.51%
4D Modeling (Construction),24716.701302,0.00%,26.27476,2.55%,Low difficulty to fill,7.55%
Thermal Desktop (Thermal Modeling Software),64259.490176,0.00%,30.514894,7.78%,High difficulty to fill,-0.91%
Community-Based Participatory Research,16606.586073,0.00%,31.101871,2.05%,Low difficulty to fill,0.00%
Cisco Unified Computing Systems,68297.894353,0.00%,24.02029,6.38%,High difficulty to fill,-45.00%
Classification Yard,0,0.00%,29.56051,0.00%,Low difficulty to fill,13.64%
