Skills_Label,Growth Category,Mid Scenario
Integrated Maintenance Data System,Rapidly Growing,-5.00%
PrimeRx (Pharmacy Management Software),Stable,-12.50%
Protocol Stack,Stable,-7.52%
Black Duck,Growing,-2.94%
Plant Efficiency,Stable,3.71%
Graphical User Interface Testing,Lagging,-3.70%
Trace Heating,Growing,-11.11%
LiveChat,Lagging,-13.64%
LAN Administration,Growing,-6.15%
Reading To Children,Growing,-3.80%
AAA Video Games,Growing,3.65%
Constitutional Documents,Rapidly Growing,-100.00%
Froglogic Squish,Growing,-26.00%
Nuclear Criticality Safety,Lagging,-51.79%
Child Care Practices,Rapidly Growing,-7.14%
Ground Rods,Growing,-8.82%
Low-Dropout Regulator,Growing,-9.35%
NESTA,Lagging,-25.13%
Space Environment,Lagging,-0.85%
Architectural Planning,Stable,1.19%
Directory Permissions,Growing,-20.00%
Drill Motors,Lagging,-6.67%
Java 11,Lagging,0.81%
Eye Irrigation,Growing,-13.86%
Field Training Exercise,Lagging,-33.33%
Chromate Conversion Coating,Rapidly Growing,-16.92%
Microhardness Testing,Stable,-3.70%
Intracranial Hemorrhages,Stable,-2.50%
ANSI/TIA/EIA,Growing,-14.29%
Polybutylene Terephalate,Lagging,-12.84%
Public Liability,Lagging,-28.23%
Layered Process Audit,Rapidly Growing,4.88%
SAP Sybase SQL,Lagging,-44.44%
Thread Safety,Rapidly Growing,0.00%
SOASTA CloudTest,Growing,-14.29%
Erdas Imagine,Rapidly Growing,0.00%
Step Aerobics,Rapidly Growing,-20.00%
Resource Editor,Lagging,0.00%
Multiplexers,Stable,6.31%
S-PLUS Statistical Software,Stable,-3.73%
SAS Management Console,Lagging,-66.67%
Still Cameras,Growing,-9.38%
Friability,Growing,-4.54%
Unix File Systems,Rapidly Growing,-20.00%
Kantech (Access System),Lagging,-3.33%
Leisure Education,Stable,-1.79%
SugarCRM,Stable,-11.36%
Acceptance And Commitment Therapy (ACT),Growing,0.80%
Sewage Pumping,Rapidly Growing,-8.33%
Animal Reproduction,Growing,1.96%
Microstrip,Lagging,-30.00%
Translation Memory,Rapidly Growing,0.00%
General Transit Feed Specification,Rapidly Growing,-14.29%
Aprima EHR,Stable,-11.11%
Pediculosis,Growing,-50.00%
Connection Pooling,Rapidly Growing,30.77%
Information Structure,Stable,-11.11%
Socat,Lagging,-25.00%
Hydrocarbon,Lagging,0.00%
SPSS Modeler,Lagging,-20.00%
Epic Identity,Lagging,-50.00%
Continuous Mandatory Ventilation,Lagging,-24.00%
Bridge Scour,Lagging,-9.52%
Layer 2 Tunneling Protocols,Lagging,-7.69%
New Media,Growing,-7.69%
IRS Tax Forms,Growing,12.86%
Data Vaults,Lagging,-4.52%
Art History,Growing,1.12%
Object Oriented CSS,Growing,-11.77%
Glass Production,Stable,0.80%
Differential Equations,Stable,-2.27%
Tire Manufacturing,Stable,-14.29%
Apparel Manufacturing,Stable,-4.72%
FFmpeg,Stable,-100.00%
Function Overloading,Lagging,-66.67%
Breast Reduction,Lagging,-25.00%
Dual Mode Mobile,Rapidly Growing,14.29%
HVAC Rooftop Units,Rapidly Growing,1.89%
Windows Movie Maker,Rapidly Growing,-50.00%
Guided Imagery,Stable,-2.70%
Transient Response,Rapidly Growing,0.00%
Sustainability Risk Management,Rapidly Growing,20.00%
Remote Application Platform,,
Anterior Cervical Discectomy And Fusion,Growing,-25.00%
Enzyme Kinetics,Growing,10.00%
Peoplesoft 8,Rapidly Growing,-100.00%
Floor Sanding,Rapidly Growing,-25.00%
Chart.js (Javascript Library),Rapidly Growing,0.00%
Liniment,Lagging,-25.00%
Umbrella Insurance,Growing,-37.50%
Natural Resources Law,Growing,7.50%
Distributed Order Management,Stable,6.67%
Page Editor,Rapidly Growing,-18.18%
Bronchodilator,Rapidly Growing,-25.00%
Lean Functional Testing,Lagging,-50.00%
HackerOne,Rapidly Growing,0.00%
Intravenous Pyelogram,Rapidly Growing,-9.09%
FiberSim (CAE Software),Growing,3.85%
SpyFu (Software),Rapidly Growing,-100.00%
Sovereign Wealth Fund,Rapidly Growing,25.00%
Database Partitioning,Growing,0.00%
Gems,Rapidly Growing,-33.33%
Windows Image Acquisition,Growing,0.00%
Plesiochronous Digital Hierarchy,Growing,12.00%
Flood Control Channel,Rapidly Growing,-33.33%
Cyclomatic Complexity,Rapidly Growing,0.00%
Differential Analysis,Stable,-7.69%
Joint Manipulation,Rapidly Growing,0.00%
Addressable Spend,Growing,-11.54%
Writing Outlines,Rapidly Growing,16.67%
River Morphology,Rapidly Growing,-50.00%
Advanced Disaster Management,Lagging,-50.00%
Photodynamic Therapy,Stable,0.00%
Medicaid Information Technology Architecture (MITA),Stable,-6.67%
Prezi (Presentation Software),Rapidly Growing,-16.67%
Beam Expander,,
Watson Studio,Rapidly Growing,-33.33%
Proximity Search,,
Neurophysiology,Rapidly Growing,0.00%
Eyeon Fusion,Rapidly Growing,-100.00%
Harmful Algal Blooms,Growing,0.00%
Deed In Lieu Of Foreclosure,Lagging,-10.00%
Yellowdog Updater Modified (Free Package Management Systems),,
Southern Blot,Rapidly Growing,40.00%
Secondary Source Maps,Lagging,-50.00%
SAP Quality Management,Lagging,-14.29%
TracePro,Rapidly Growing,33.33%
Multi-Gas Monitors,Growing,-10.00%
Microfluidic Chips,Growing,20.00%
Orifice Plate,Lagging,-25.00%
Java Media Framework,Rapidly Growing,0.00%
AR System Administration,,
Jazz Dance,Growing,7.14%
Symbian,Lagging,-50.00%
Script Debuggers,Rapidly Growing,14.29%
Global Data Synchronization Networks,Stable,-5.56%
EXT2,,
JProbe Software Suite,Rapidly Growing,-15.38%
Laser Design,Rapidly Growing,0.00%
Speech Science,Growing,-12.50%
Chiral Column Chromatography,,
Helium Liquefaction,Growing,-28.57%
Keratin,Rapidly Growing,-7.14%
Automatic Sprinkler System Layout,Rapidly Growing,-33.33%
Nonviolent Communications,Rapidly Growing,16.67%
International Leadership Association,Lagging,-100.00%
SCons,Rapidly Growing,10.00%
Pathlore,Lagging,-40.00%
Zoning Classification,Lagging,-66.67%
Marine Radar,Lagging,0.00%
Esophageal Dilatation,Growing,5.00%
Kapacitor,Rapidly Growing,-100.00%
Serde,,
Oracle B2B,Rapidly Growing,-14.29%
Amazon S3 Glacier,Rapidly Growing,0.00%
Netfilter,Lagging,-42.86%
Internet Explorer Administration Kit,,
Jgrapht,,
Mixpanel,Rapidly Growing,0.00%
Voice Interaction,Rapidly Growing,-12.50%
Jazz Theory,Rapidly Growing,-100.00%
Upper Cervical Specific Chiropractic,Rapidly Growing,0.00%
Relational Data Mining,Lagging,-50.00%
Adobe Contribute,Lagging,-33.33%
Apple Network Servers,Lagging,-50.00%
DataCAD,Lagging,-100.00%
Windows App Studio,Rapidly Growing,0.00%
Alkylation Units,Lagging,-50.00%
Ovambo Language,Lagging,-25.00%
JiBX,,
Secure Hash Algorithm,Rapidly Growing,0.00%
Kanuri Language,Lagging,-100.00%
Runtime Error,Lagging,-50.00%
Management Information Reporting,Growing,1.41%
Adobe Fonts,Lagging,0.00%
Synthetic Polymers,Rapidly Growing,-100.00%
BioZ Impedance Cardiography (ICG) Test,Lagging,0.00%
Dell EMC UniSphere,Lagging,-33.33%
Windows 2000 Security,,
Ladino Language,Lagging,-100.00%
Content-Addressable Storage,,
Punching Machine,Lagging,-50.00%
Secondary Authority,Lagging,0.00%
Microsoft Diagnostics,,
RISC System/6000,,
Ileal Conduit Urinary Diversion,Lagging,-100.00%
Deep Reactive-Ion Etching,Lagging,0.00%
Artificial General Intelligence,Lagging,-100.00%
Clinical Dementia Rating,Rapidly Growing,-100.00%
SINIX,,
IBM Worklight,Rapidly Growing,0.00%
Lexical Analysis,,
District Health Information System (DHIS),Growing,-16.67%
Biomedical Engineering Society,Lagging,-50.00%
Parking Sensors,,
NetBoot,Lagging,-50.00%
Primary Group Exercise Instruction,Rapidly Growing,25.00%
HP Thin Clients,Rapidly Growing,100.00%
LIMDEP,Lagging,-50.00%
Microsoft Simplygon,Lagging,0.00%
Freeze-Drying,,
OpenWindows,,
Control Arm,,
Loss Functions,Rapidly Growing,14.29%
Roll Forming,Rapidly Growing,-21.43%
Endometrial Ablation,Lagging,0.00%
Handwriting Recognition,Rapidly Growing,0.00%
Pre-Shared Key,,
mod_perl,,
Open Site Explorer (Moz Search Engine),,
Nehan (Languages Of The Solomon Islands),Lagging,-50.00%
Libreoffice Writer,,
Bioelectrical Impedance Analysis,Lagging,-100.00%
IBM XIV Storage Systems,Lagging,-100.00%
PowerMILL,Lagging,0.00%
Ebextensions,,
NSXMLParser,,
Medflow EMR,,
Tempdb,Lagging,0.00%
Oxidase Testing,,
Multivalued Dependency,,
Thermomechanical Analysis,Rapidly Growing,-100.00%
Nebulization,,
LC Circuit,,
FlexNet Publisher,,
Utility Theories,Lagging,0.00%
Graphlab,Lagging,-50.00%
Panel Truck,,
Multi-Environment Real-Time,,
Tesseract,,
Pivot Grid,,
Metro Area Transit,Lagging,-50.00%
Computer-Aided Quality Assurance,,
Adobe GoLive,,
Libreoffice Calc,,
Kalenjin Language,Lagging,-100.00%
Membrane Reactors,,
Urethrotomy,,
Reporting Application Server,,
Design Structure Matrix,,
Semantic Application Design Languages,,
Specific Impulse,,
FWTools,,
Digital Private Network Signaling Systems,,
Consensus CDS Project (Biological Databases),,
Google Cloud Print,,
Maxmind,,
Congruence,,
VistaPro,,
Lofting,Lagging,-50.00%
Paint Tool SAI,Lagging,0.00%
AVS Video Editor,,
Cerberus FTP Servers,,
Unified Speech And Audio Coding (Audio Codecs),,
Exchange Web Services (EWS),,
SPARCstation,,
Chin Augmentation,,
Xinetd,,
GraphEdit,,
Objective Portable Operating System,,
LU Decomposition,,
Block Paving,,
Purdue Pegboard Tests,,
Geography Markup Language,,
Macro Recorder,,
Monogame,,
Altova DiffDog (XML),,
Medicare Remit Easy Print,Lagging,-100.00%
ThinkVantage Technologies,,
Certutil,,
jsGrid,Lagging,-100.00%
Bicubic,,
World Reference Base For Soil Resources,,
Monkeyrunner,,
Talascend,,
Mantis Databases,,
Dynamic Job Descriptor Entry,,
ISIS/Draw,,
Permanent Makeup,,
SAP Resource And Portfolio Management,,
BD LSR II Flow Cytometer,,
Potassium Ferricyanide,,
Gene Designer,,
Mamiya 120 Film Cameras,,
World Geodetic Systems,,
Symantec Workspace Virtualization,,
Codepen,,
Molecular Imprinting,,
Election Markup Language,,
Network Management Information System,,
XLISP,,
Low Poly,,
XML Notepad,,
ES6 Module Loader,,
Calculations,Growing,-0.11%
Robotics,Growing,2.61%
Student Information Systems,Growing,-6.87%
Food Preparation,Growing,-5.94%
Legal Discovery,Growing,-2.22%
Land Tenure,Growing,-5.07%
User Flows,Growing,-1.09%
Marketing Materials,Rapidly Growing,-2.41%
Profitable Growth,Stable,-1.51%
Benchmarking,Rapidly Growing,-8.20%
Chemistry,Growing,-1.05%
Tax Accounting,Growing,10.84%
Sales Management,Lagging,-7.15%
Glazing,Lagging,-100.00%
Spatial Analysis,Stable,4.39%
Cooking,Growing,-1.88%
Hibernate (Java),Stable,-0.35%
Strategic Sourcing,Stable,-0.39%
Research And Development,Stable,-0.96%
Squeegee,Growing,9.92%
Economics,Growing,-3.49%
Load Balancing,Growing,-2.67%
Shipping And Receiving,Growing,-1.77%
Event-Driven Programming,Growing,6.11%
National Electrical Codes,Rapidly Growing,1.87%
Order Picking,Stable,4.86%
Audiometry,Growing,0.38%
Health Insurance Portability And Accountability Act (HIPAA) Compliance,Rapidly Growing,-3.90%
Virtual Private Networks (VPN),Growing,-1.03%
Clinic Management Systems,Growing,2.32%
Information Retrieval,Growing,3.11%
Measurement And Signature Intelligence,Lagging,-14.15%
Blueprinting,Rapidly Growing,1.71%
System Testing,Growing,2.23%
Financial Accounting,Growing,-5.22%
Psychological Evaluations,Lagging,-5.19%
Competency Assessment,Growing,-6.99%
Human Resource Management,Growing,3.82%
TensorFlow,Growing,11.33%
Chemotherapy,Growing,0.61%
Strategic Management,Lagging,0.00%
Social Media Management,Growing,5.61%
Non-Disclosure Agreement (Intellectual Property Law),Stable,-0.16%
Crime Scene Security,Lagging,-3.31%
Solar Design,Lagging,-24.35%
New Relic (SaaS),Growing,7.83%
Business Valuation,Growing,9.12%
Drawing Interpretation,Growing,1.93%
Seasoning,Lagging,-15.29%
Capital Budgeting,Growing,-0.51%
Manufacturing Operations,Growing,-1.47%
Skip Tracing,Stable,2.62%
Defining Roles And Responsibilities,Stable,0.53%
Real Estate Law,Lagging,-0.60%
Technical Drawing,Rapidly Growing,5.76%
Criminal Law,Growing,-1.88%
Pancreas,Lagging,-8.50%
ASTM International Standards,Lagging,-0.17%
Scientific Reasoning,Growing,-3.86%
Divestitures,Growing,-2.03%
Paracentesis,Lagging,-7.91%
Immunofluorescence,Stable,2.35%
Economic Indicators,Growing,7.69%
World Religions,Lagging,-27.59%
Treasury Services,Stable,0.00%
ICD Coding (ICD-9/ICD-10),Lagging,-0.68%
Redis,Growing,11.27%
Flat Sketching,Lagging,-10.71%
Nail Care,Rapidly Growing,18.39%
Technical Sales,Lagging,1.43%
Upselling,Growing,-4.76%
Snow Removal,Growing,0.39%
Product Marketing,Growing,10.58%
Data Entry,Lagging,-2.97%
Networking Hardware,Rapidly Growing,-6.79%
Export Control,Rapidly Growing,-8.09%
Joomla (Content Management System),Lagging,-3.60%
Aerospace Engineering,Stable,4.92%
Traffic Reporting,Lagging,-3.00%
Loyalty Programs,Lagging,-7.21%
Enrollment Management,Growing,2.90%
Next Unit Of Computing (NUC),Stable,4.41%
Patient Management Software,Growing,7.00%
Target Market,Growing,-2.89%
Unix,Growing,4.29%
Request For Proposal,Growing,-2.74%
Topology,Growing,0.64%
Internal Investigations,Lagging,-3.43%
Technical Design,Growing,12.72%
Production Management,Stable,-1.41%
Emerging Technologies,Stable,3.39%
Web Platforms,Lagging,3.31%
Academic Standards,Lagging,-9.28%
Recruitment Planning,Stable,-0.11%
Windows System Administration,Stable,-8.24%
File Servers,Lagging,-6.16%
Web Access Management,Rapidly Growing,0.00%
Operationalization,Lagging,-5.20%
Fusion Splicing,Rapidly Growing,-3.64%
Picture Framing,Growing,1.56%
Quantitative Analysis,Growing,8.12%
Eloqua,Stable,-0.77%
Liquidity Risk,Stable,-2.03%
Event Scheduling,Growing,-5.68%
Drafting Documents,Stable,-2.67%
Design Thinking,Rapidly Growing,11.16%
Hepatology,Growing,1.01%
Joint Ventures,Growing,2.37%
Viticulture,Lagging,-10.62%
Product Layout,Rapidly Growing,18.75%
Failure Causes,Rapidly Growing,2.05%
Accounting Systems,Growing,0.26%
Law Enforcement Operations,Growing,-0.61%
Disaster Preparedness,Growing,-2.39%
Chemical Physics,Growing,2.70%
Generally Accepted Auditing Standards,Growing,2.20%
Botany,Growing,-7.19%
Space Science,Stable,-3.09%
Pardot (CRM Software),Stable,0.14%
Microbiological Testing,Lagging,-2.99%
Business Statistics,Stable,3.08%
Bacterial Pathogens,Lagging,-6.25%
Tooth Bleaching,Growing,-1.56%
Cyber Security Management,Growing,-1.48%
Heart Sounds,Rapidly Growing,8.82%
Lapping,Stable,-7.29%
Aggregation Analysis,Stable,-14.58%
Odor Control,Lagging,0.00%
Latin American And Latino Studies,Growing,-48.72%
Marketing Channel,Growing,2.55%
Legal Document Preparation,Growing,0.00%
Strategic Alliance,Growing,-1.44%
Forklift Safety,Lagging,-8.64%
Training Coordination,Stable,0.00%
International Taxation,Growing,-5.98%
Online Communication,Growing,-11.25%
Pressure Vessel,Rapidly Growing,-4.65%
Innovation Leadership,Growing,1.96%
Radio-Frequency Identification,Lagging,-8.88%
Control Deficiency Management,Stable,0.91%
Animal Feeding,Lagging,0.00%
Biodiversity,Stable,1.37%
SAP Business Connector,Lagging,-1.42%
Psychiatric Treatments,Lagging,-9.13%
Solaris (Operating System),Growing,1.38%
Professional Liability,Lagging,2.19%
Business Partnering,Growing,-0.33%
Contract Law,Stable,4.17%
Azure Machine Learning,Stable,4.59%
VHSIC Hardware Description Language (VHDL),Stable,1.52%
Propensity Modeling,Growing,5.00%
Audacity (Audio Editing Software),Lagging,-11.65%
Live Reporting,Stable,0.00%
Commercial Finance,Lagging,-0.62%
eClinicalWorks (ECW),Rapidly Growing,20.65%
Self-Directed Learning,Stable,-8.14%
Secondary Source Information,Stable,3.21%
Online Auctions,Stable,-0.70%
Public Service Announcement,Lagging,1.37%
Microsites,Stable,-3.12%
Postal Address Verification,Rapidly Growing,4.54%
Hydraulic Analysis,Lagging,-6.21%
Provider Network Management,Lagging,0.00%
Performance Driving Techniques,Stable,2.80%
Turnbuckle,Lagging,-1.95%
Hepatitis C,Growing,0.00%
Failure Mechanisms,Stable,-2.45%
Quantum GIS (QGIS),Lagging,-5.18%
ArcGIS Mapping,Rapidly Growing,0.00%
Digital Guardian,Rapidly Growing,-12.50%
Diaspora Studies,Growing,3.45%
JSON With Padding (JSONP),Rapidly Growing,-11.11%
SEO Copywriting,Stable,-0.26%
Mathematical Software,Lagging,-1.15%
Patient Recall System,Growing,9.85%
Femap,Stable,1.97%
Traction Equipment,Growing,0.00%
Profit And Loss Forecasting,Rapidly Growing,17.07%
Sediment Transport,Growing,-1.39%
10 Gigabit Ethernet,Rapidly Growing,0.00%
Digital Merchandising,Stable,2.50%
Invasive Plants,Lagging,-9.31%
Mudbox,Rapidly Growing,0.00%
Well-Baby Care,Rapidly Growing,10.53%
OpenAPI Specification,Stable,-13.92%
Community Outreach,Rapidly Growing,3.49%
Coolants,Stable,-5.42%
Isolation Procedures,Growing,2.76%
Electrical Diagnostics And Repairs,Growing,-3.56%
USB,Growing,1.02%
Print Binding,Lagging,-5.75%
Payment Service Provider,Lagging,4.36%
Payroll Tax,Growing,2.62%
Dryers,Stable,-0.53%
Palantir Foundry,Rapidly Growing,16.67%
Press Conference,Lagging,1.46%
Simulation Software,Growing,6.11%
Maternal Child Health,Lagging,3.08%
DCID 6/3,Lagging,-5.32%
EVPN (Ethernet VPN),Lagging,-2.30%
Sander (Metalworking Tools),Rapidly Growing,8.53%
Chronic Kidney Disease,Growing,-15.09%
Open Dental,Lagging,1.84%
Data Infrastructure,Growing,5.03%
Accounting Records,Growing,-0.33%
Mechanical Ventilation,Stable,0.64%
Hadoop Distributed File System (HDFS),Growing,2.56%
Admixtures,Stable,0.70%
qTest,Stable,-1.27%
Historic Artifacts,Lagging,-8.33%
Audit Command Language,Stable,0.00%
Package Delivery,Stable,2.81%
Supply Chain Strategy,Growing,-0.26%
Forging,Growing,-8.27%
Data Capture,Growing,10.00%
Adobe Analytics,Growing,-2.03%
Commodity Management,Stable,-4.48%
Privacy Impact Assessments,Stable,1.52%
Global Project Management,Stable,5.10%
Mortgage Loan Origination,Growing,6.36%
Three Degrees Of Freedom,Rapidly Growing,-6.25%
Wage Garnishment,Growing,-2.77%
Flow Control,Stable,-14.44%
Application Deployment,Growing,8.64%
Software Installation,Growing,-0.09%
Spill Containment,Stable,0.00%
SharePoint Development,Lagging,-1.22%
Carburetors,Lagging,-9.79%
Exhibitions,Growing,-7.02%
Data Retention,Growing,0.51%
Release Notes,Growing,2.69%
Mechanical Failure,Growing,5.22%
Inter-City Rail,Rapidly Growing,8.33%
Microscopy,Stable,-0.36%
Supply Chain Planning,Stable,3.25%
Security Camera Monitoring,Growing,6.34%
Evoked Potential,Lagging,2.24%
Balanced Budgeting,Growing,-0.54%
Electronic Patient-Reported Outcome,Lagging,1.03%
Design Leadership,Stable,8.16%
Fireproofing,Growing,7.14%
Transaction Processing (Computing),Lagging,-2.96%
Backup And Restore,Growing,-8.25%
Climate Resilience,Rapidly Growing,11.28%
Nutrition Intervention,Growing,-2.22%
Laserfiche (Content Management Platform),Stable,-0.60%
Computer Security,Stable,-10.67%
Debating,Growing,-1.66%
IBM Tririga,Stable,-0.81%
Job Planning,Stable,-2.69%
Resource Conservation And Recovery Act (RCRA),Stable,3.85%
Oracle Essbase,,
Combination Products,Growing,-3.65%
Communication Studies,Growing,-4.83%
Forest Mensuration,Growing,2.83%
Curriculum Planning,Lagging,-12.98%
Decentralized Finance (DeFi),Growing,0.00%
Survey Research,Lagging,-3.03%
Insurance Regulatory Law,Rapidly Growing,12.70%
Chainsaws,Lagging,0.44%
Work-In-Process Inventory,Growing,-5.68%
Pharmaceutical Compounding,Stable,1.42%
Pipe Flow,Rapidly Growing,5.41%
Veeva,Stable,-2.90%
Risk Reduction,Stable,-0.74%
Performance Profiling,Growing,2.72%
Waste Sorting,Stable,-13.26%
Environmental Chemistry,Lagging,-2.55%
Language Development,Growing,-0.35%
Launch Services,Stable,-1.06%
Fluid Dynamics,Stable,-0.68%
Multiple Launch Rocket System,Lagging,-3.57%
Amazon Textract,Growing,12.50%
SAS Macros,Stable,-15.38%
Resource Description Framework (RDF),Growing,4.76%
Arduino,Growing,4.46%
Primary Nursing,Stable,-4.00%
Vehicle Remarketing,Stable,-9.38%
Educational Administration,Stable,-6.10%
Sample Analysis,Growing,-0.91%
SAP Best Practices,Growing,0.77%
Crime Reports,Growing,1.01%
Non-Destructive Testing (NDT),Rapidly Growing,-5.87%
Brocade Network Technologies,Lagging,-13.30%
Trade Lifecycle,Stable,-4.80%
Ad Valorem Tax,Stable,-1.92%
Address Resolution Protocols,Stable,-6.97%
Dermatitis,Growing,-18.79%
Empirical Research,Lagging,-9.26%
Economic Theories,Rapidly Growing,2.14%
Financial Analysis Software,Lagging,-10.09%
Transit Authorization,Growing,-8.74%
Phishing,Stable,-1.00%
Informatica Powercenter,Lagging,1.19%
Toolchain,Lagging,-1.83%
Cash Posting,Stable,4.02%
Messaging Pattern,Rapidly Growing,9.52%
Information Extraction,Growing,7.41%
Nursing Ethics,Rapidly Growing,2.54%
Extended Reach Drilling,Growing,-1.07%
Digital Signature,Lagging,-2.81%
Bridge Repair,Growing,-1.04%
Data Room,Growing,-2.30%
ARP4754,Lagging,-10.35%
Storages,Growing,-2.86%
Windows Desktop,Stable,-3.03%
Salt Stack,Lagging,-56.82%
Slip Sheet,Stable,4.71%
Clinical Neuropsychology,Lagging,0.00%
Cadence Virtuoso,Growing,16.28%
Investigative Interviewing,Stable,-5.21%
Radioactive Waste,Lagging,-2.97%
Knife Sharpening,Rapidly Growing,-21.95%
Competition Law,Growing,3.57%
Hospitality Industry,Stable,-9.91%
Liquor License (Alcohol Law),Lagging,-12.75%
Watershed Management,Lagging,-6.70%
Journalistic Writing,Growing,-5.97%
SAP EWM,Growing,4.13%
Profit-Based Sales Targets,Growing,14.04%
Random Forest Algorithm,Growing,8.05%
HTML Emails,Lagging,-9.17%
Laceration Repair,Lagging,3.00%
Radiation Protection Devices,Lagging,1.19%
Web Project,Stable,-100.00%
Energy Production,Stable,2.05%
IBM Bluemix,Rapidly Growing,-100.00%
Optical Sorting,Stable,-5.36%
PicMonkey,Stable,-28.12%
Results Summary,Rapidly Growing,-100.00%
Industrial Structures,Lagging,-10.91%
Google Trends,Growing,10.42%
Cocoa Touch,Growing,3.39%
Acupuncture,Growing,0.00%
Business Process Transformation (BPT),Stable,-2.42%
Employee Monitoring,Stable,-7.14%
Common Vulnerability Scoring System (CVSS),Stable,4.67%
Secure Application Development,Growing,1.11%
Gensuite (Software),Growing,5.75%
Kaltura,Rapidly Growing,10.42%
Digital Filter,Growing,8.89%
Sports Operations,Stable,0.00%
Alembic (Data Migration Tool),Rapidly Growing,18.18%
Archive File,Stable,-5.51%
Intellectual Property Laws,Lagging,-6.04%
Distributed Component Object Model,Rapidly Growing,-14.29%
Dialogflow (Google Service),Stable,0.00%
User Interface Prototyping,Lagging,-7.69%
Metadata Standards,Stable,4.30%
Thermography,Lagging,3.56%
Cloud Security Strategy,Lagging,-2.13%
Dubbing (Filmmaking),Stable,4.72%
Publication Design,Rapidly Growing,0.00%
Rho(D) Immune Globulin,Rapidly Growing,8.33%
Dimensionality Reduction,Rapidly Growing,7.50%
Aerobics,Lagging,-8.33%
Server Clustering,Lagging,-9.09%
Critical Care Emergency Medical Transport Programs,Growing,0.00%
Antioxidants,Stable,-8.57%
Arthrogram,Lagging,-3.38%
Personalized Medicine,Growing,7.55%
National Disaster Medical Systems,Rapidly Growing,-25.00%
Semiconductor Device Physics,Growing,6.10%
Media Server Control Markup Language,,
Enterprise Master Patient Index,Growing,8.51%
Global Server Load Balancing,Growing,12.50%
Business Intelligence Data Modeling,Lagging,-6.67%
Thin Film Coating,Growing,9.30%
DB2/400,Lagging,-10.53%
Desktop Environments,Growing,1.04%
Play Therapy,Lagging,2.34%
Appliance Sales,Lagging,0.00%
Heap Dump,Rapidly Growing,-23.53%
Injury Severity Scoring,Lagging,-30.00%
Rowing (Sport),Growing,-8.64%
Thanatology,Rapidly Growing,21.74%
Reportable Disease,Growing,4.35%
Ceramic Coating,Stable,-9.33%
Bag-Valve Mask Resuscitation,Lagging,-1.55%
Hyperplasia,Growing,-84.00%
Gastric Bypass Surgery,Growing,2.22%
ESOP Administration,Lagging,-14.29%
Beryllium,Growing,-2.50%
Form Layout,Rapidly Growing,-25.00%
Acute Renal Failure,Growing,-3.92%
Shutter Speed,Rapidly Growing,-6.67%
Environmental Control And Life Support Systems,Rapidly Growing,3.23%
IBM Guardium,Stable,-11.77%
Solidity (Programming Language),Stable,-7.02%
Logfiles,Rapidly Growing,33.33%
Marine Propulsion,Rapidly Growing,-8.93%
Cardiovascular Physiology,Growing,1.85%
Test Automation Management Tools,Growing,4.69%
Functional Genomics,Growing,3.29%
Electron Optics,Stable,-7.14%
CoreOS,Lagging,-15.00%
Electron Microprobe,Growing,0.00%
Electroplating,Stable,-3.85%
Immunofixation Electrophoresis,Growing,-28.57%
Curettage,Lagging,-4.90%
XCal (XML-Based Standards),Rapidly Growing,-23.08%
Peripheral Vascular Resistance,Lagging,-4.25%
Bioconjugation,Growing,9.30%
Electron Backscatter Diffraction,Rapidly Growing,2.08%
Wind Farm Development,Growing,0.00%
IP Tunnel,Rapidly Growing,0.00%
U-SQL,Rapidly Growing,-25.00%
Live Event Support,Lagging,-9.43%
Database Mirroring,Growing,-4.54%
Cognitive Computing,Lagging,-13.64%
Interactive Response Technology,Rapidly Growing,0.00%
Branch.io,Rapidly Growing,-33.33%
Hyperion Enterprise,Lagging,-9.09%
Organometallic Chemistry,Stable,0.00%
Apartment Maintenance,Lagging,-7.86%
Electronic Control Unit,Stable,1.80%
Oral And Maxillofacial Surgery,Growing,4.93%
Drools,Stable,4.54%
LinkedIn Recruiter,Growing,7.58%
Culinary Science,Growing,-5.46%
Sewing,Growing,-0.39%
IP Routing,Lagging,-1.41%
Health Reimbursement Arrangement,Stable,5.63%
Multicultural Education,Rapidly Growing,-17.79%
Remote Service Software,Stable,-3.73%
Learning Metrics,Rapidly Growing,7.69%
EtherChannel,Growing,10.00%
Spring Cloud,Growing,-4.41%
Migraine,Lagging,-13.91%
Mechanical Tools,Lagging,-6.88%
SPICE (Simulation Tool),Rapidly Growing,5.58%
Archival Research,Rapidly Growing,-4.94%
Electrical Rule Check,Growing,1.23%
Copy Cataloging,Stable,-11.11%
Prenatal Care,Lagging,-3.27%
Financial Data Management,,
Customer Risk,Stable,2.51%
Sustainable Infrastructure,Growing,-1.52%
Kernel Debuggers,Stable,-5.56%
Claims Adjustment,Stable,5.68%
Precision Agriculture,Lagging,-2.84%
Rochade,Rapidly Growing,0.00%
Emergent Curriculum,Lagging,-13.26%
Medical Libraries,Growing,5.63%
Structural Materials,Growing,-7.21%
SAP NetWeaver Data Management,Stable,-5.81%
SAP Transportation Management (TM),Stable,-0.89%
End-User License Agreement,Growing,5.13%
Oracle Configure-Price-Quote (CPQ),Lagging,-7.88%
System Integrity,Stable,2.95%
Java Development Kit,Lagging,-10.09%
Information Assurance Vulnerability Management (IAVM),Stable,1.72%
Vacuum Furnaces,Growing,0.00%
High Assurance Internet Protocols Encryptor,Growing,-14.29%
